Participant_id	Melody	Singing voice	Rhythm	Lyrics	Mood	Tempo	Harmony	Sentiment	Instruments	Danceability
284	5	5	5	5	5	4	5	5	5	1
285	2	3	4	4	4	4	1	1	1	1
286	5	4	5	1	4	5	4	3	2	2
287	5	3	5	1	3	5	2	1	4	5
288	5	5	3	4	4	3	4	4	2	3
289	5	5	4	3	4	4	3	4	2	2
290	3	3	3	2	3	2	2	2	1	1
291	4	2	3	3	3	3	3	3	2	1
292	5	5	5	3	4	3	2	4	3	2
293	4	5	3	4	5	4	2	2	2	1
294	4	3	2	4	2	2	2	2	1	4
295	4	5	3	4	4	3	3	3	2	1
296	5	2	4	5	3	2	3	4	2	1
297	5	4	2	5	2	2	2	2	2	1
298	4	2	5	1	2	4	2	1	3	2
299	3	4	4	1	4	4	4	4	1	1
300	5	4	5	2	3	5	3	2	2	1
301	3	2	1	2	4	2	1	3	1	1
302	5	4	3	4	3	3	3	3	2	1
